,id,f1_score,precision,recall,accuracy,cross_entropy,seed,circuit,learning_rate,loss_history,avg_epoch_time_seconds,network_str,model_path,weights,epochs,n_qubits,features_per_qubit
0,0,0.11320754716981134,1.0,0.06,0.06,2.203273296356201,1,Senokosov2024Circuit,0.01,"[0.2503029704093933, 0.2477768361568451]",0.5954070091247559,"QuantumClassifierMNIST(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=10, bias=True)
)",results/models_10/model_expID_69_dfID_0.pth,[],2,4,4
1,1,0.0,0.0,0.0,0.0,2.210763454437256,1,Senokosov2024Circuit,0.001,"[0.2503029704093933, 0.25011005997657776]",0.5458675622940063,"QuantumClassifierMNIST(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=10, bias=True)
)",results/models_10/model_expID_69_dfID_1.pth,[],2,4,4
